TABLE S2: Oct4, Sox2, Nanog binding to Known Genes					
GENE	OCT4	SOX2	NANOG	E2F4	Expressed
AK3L1	-	-	534	-	1
AKT1S1	-	0	-	-	1
ALCAM	-	582	302	-	1
ALDH16A1	-	966	966	-	0
ALDH3A2	-	-	-	65	1
ALDH6A1	-	-	-	266	1
ALDH7A1	-	0	-	-	1
ALDOA	-	-	-	0	1
ALG10	-	-	-	0	0
ALG9	-	-	7413	-	1
ALKBH	0	-	0	-	1
ALOX5	-	-	-	528	0
ALOXE3	576	-	-	-	0
ALPK3	-	-	1423	-	0
ALPL	-	625	-	-	1
ALS2CR16	-	-	93	0	0
AMIGO2	6018	-	5739	-	1
AMOT	-	-	310	-	0
AMOTL1	-	3090	637	-	1
ANAPC4	-	-	6536	7059	0
ANGPT1	-	-	0	-	1
ANKFY1	-	-	-	0	1
ANKHD1	2659	0	-	-	1
ANKMY2	-	-	2404	-	1
ANKRD1	472	721	721	-	1
ANKRD11	-	-	-	981	1
ANKRD13	-	-	-	0	1
ANKRD15	2272	1597	1597	-	1
ANKS1	-	-	-	600	1
ANLN	-	-	-	0	1
ANP32A	-	2530	2530	-	1
ANP32B	-	511	511	-	1
ANP32C	-	-	6650	1057	0
ANP32E	-	-	-	0	1
ANXA1	-	-	1668	-	1
ANXA8	-	-	689	-	0
AP1G1	-	-	0	-	1
AP1S2	-	-	1967	-	1
AP2A1	-	949	70	-	1
AP2B1	-	-	-	0	1
AP3B1	-	802	0	-	1
AP3D1	-	-	-	0	1
AP3S2	-	-	-	221	1
APEX1	-	0	-	-	1
APEX2	-	-	396	-	1
APG4C	-	-	0	-	1
APH1A	-	0	0	-	1
APLP2	-	-	3917	-	1
APOA2	-	-	1985	-	1
APOB	-	-	3042	-	1
APOB48R	-	2058	2058	-	0
APOBEC3D	-	0	0	-	0
APOBEC3G	6441	20	0	-	0
APOM	-	-	2875	2875	1
APP	-	1345	-	-	1
AQP2	-	4546	4546	-	1
AQP9	-	-	98	-	0
ARCH	-	-	0	89	0
ARF3	-	7262	7660	-	1
ARF4	-	0	0	-	1
ARF4L	-	0	-	-	1
ARF6	-	-	-	0	1
ARFGEF1	-	4758	-	-	1
ARHGAP1	-	19	0	-	1
ARHGAP11A	-	0	0	-	1
ARHGAP19	-	-	0	0	0
ARHGEF17	-	1177	-	-	0
ARID1A	-	-	-	582	1
ARID1B	2966	2966	2686	-	1
ARID4B	-	0	-	-	1
ARIH1	-	179	394	-	1
ARL6	-	1024	1024	-	0
ARL6IP6	-	-	-	0	1
ARL8	-	-	-	304	1
ARMC4	-	-	715	-	0
ARMC6	-	803	803	-	1
ARMCX1	-	-	0	-	1
ARMCX5	0	-	-	-	1
ARNTL2	-	325	-	99	0
ARPC5	533	-	-	-	1
ARPM1	-	2016	5759	-	0
ARRDC3	-	1027	-	-	1
ARSD	2000	2000	546	-	0
ARSF	-	-	5346	-	0
ARX	2827	-	3039	2827	0
ASAH1	-	-	0	-	1
ASAM	-	-	2816	-	1
ASB1	-	-	271	-	1
ASB18	-	7352	-	-	0
ASCC2	-	-	3676	-	1
ASCL2	6264	-	6589	-	0
ASE-1	-	-	-	0	1
ASF1B	-	-	-	0	1
ASH2L	-	-	-	0	1
ASK	-	-	-	507	1
ASNA1	-	54	-	-	1
ASPM	-	-	-	0	1
ASXL1	-	-	615	-	1
ATAD2	0	0	4	0	1
ATAD3B	-	-	-	0	0
ATBF1	518	4127	787	-	0
ATF2	-	-	-	4	1
ATF3	-	1806	-	-	1
ATF4	-	0	72	0	1
ATF5	-	-	-	764	1
ATF6	-	980	-	-	0
ATF7IP	-	-	-	0	1
ATOH1	-	295	-	-	0
ATOH8	-	-	-	57	0
ATP11C	-	-	518	-	1
ATP5F1	-	0	0	-	1
ATP6V1A	-	-	1431	-	1
ATP6V1D	285	-	-	295	1
ATP6V1G1	3693	3693	3693	-	1
ATP7B	-	-	786	-	0
ATP8B3	-	-	-	0	0
ATP9B	-	-	-	0	1
ATPAF2	-	-	-	0	1
ATPIF1	-	-	0	-	1
AUH	461	461	-	-	1
AUP1	-	-	-	0	1
AVEN	-	5	-	-	1
AXIN2	-	-	0	-	1
AZI1	-	123	-	-	1
B2M	-	-	0	-	1
B3GALT4	5087	5087	5087	5221	1
B4GALT6	-	1883	453	173	1
BAG5	39	-	39	39	1
BAMBI	425	425	425	-	1
BARHL2	-	3889	-	-	0
BARX1	-	-	-	0	0
BARX2	-	-	658	-	0
BAT1	-	-	-	0	1
BAT3	-	-	0	0	1
BAT4	-	-	-	0	1
BAT5	-	327	-	-	0
BAZ1B	-	-	-	131	1
BBP	-	-	0	0	1
BC006122	-	0	-	-	0
BC007862	-	-	0	-	1
BC008141	-	6148	-	-	0
BC008813	-	-	1686	-	0
BC009415	-	422	702	-	1
BC009550	-	-	-	567	0
BC010732	662	-	903	-	0
BC011742,BC017255	-	-	-	0	0
BC012542	-	-	0	0	0
BC013749	-	-	-	0	0
BC014776	-	-	0	-	0
BC014953	-	-	245	-	1
BC016825	-	1198	-	-	1
BC018206	-	-	37	37	1
BC019341	-	-	274	-	1
BC020923	235	235	235	-	0
BC021127	-	1023	1023	-	1
BC022357	-	0	5355	0	0
BC022371	-	1687	1687	-	0
BC023549	-	-	5159	-	0
BC026345	16	0	0	-	0
BC027178	-	-	-	435	1
BC028301	-	-	-	0	0
BC029609	-	-	0	-	0
BC030245	-	7436	7436	-	1
BC032347	-	0	-	-	0
BC032958	-	672	-	-	0
BC033154	-	26	26	0	0
BC033643	-	-	-	0	0
BC034752	-	-	2489	-	0
BC036056	-	-	-	0	0
BC039145	-	635	635	-	1
BC040177	-	-	200	-	0
BC040993	-	-	519	-	1
BC044580	-	329	67	67	1
BC045706	-	-	2242	-	0
BC045834	-	-	-	0	0
BC046199	-	-	268	268	1
BC047471	-	-	-	0	0
BC047718	-	-	-	0	0
BC047782	-	284	-	-	0
BC052341	-	0	-	-	1
BC053996	-	-	2	-	0
BC056682	-	2669	2669	-	1
BC060847	-	-	-	598	0
BC060851	-	-	5493	-	0
BC060874	-	-	2688	-	0
BC061909	82	82	82	-	1
BC062632	-	1637	-	-	0
BC063451	-	-	6294	-	0
BC064390	-	-	-	0	1
BC064584	-	0	-	0	1
BC064948	-	-	74	-	1
BC068520	-	124	-	373	0
BC069363	3252	3532	3532	-	0
BC071771	-	773	-	-	0
BC075857	-	-	0	0	1
BC080575	-	-	-	0	1
BC080624	742	-	742	-	0
BC-2	-	-	-	3655	1
BCAR1	-	-	1828	-	0
BCAS1	-	-	397	-	0
BCAT1	-	595	595	-	1
BCKDHA	-	0	0	94	1
BCL9	-	0	0	-	1
BCL9L	-	-	5597	-	1
BCLAF1	-	1605	488	-	1
BCS1L	-	-	-	0	1
BDH	6964	6964	6964	-	0
BFSP1	-	-	2622	-	0
BG1	-	6075	6075	-	0
BHLHB5	1095	815	0	-	0
BIRC5	-	-	-	0	1
BLCAP	20	-	0	-	1
BLM	-	-	-	0	1
BLOC1S1	-	-	-	0	1
BLZF1	-	0	0	-	0
BM039	-	-	-	0	1
BMP2	-	4015	4015	-	1
BMP5	-	0	0	-	0
BMP7	2639	2639	2639	-	1
BMPR1A	-	-	-	826	1
BMPR2	-	918	918	-	0
BMSC-UbP	-	-	-	0	1
BMX	-	148	-	-	0
BNIP1	-	-	5128	-	1
BRCA2	-	-	-	176	1
BRCC2	-	0	-	-	0
BRD8	-	-	-	0	1
BRF1	-	-	-	0	0
BRIP1	-	224	-	0	0
BRMS1L	-	-	-	0	0
BSCL2	-	-	713	-	1
BTBD6	-	-	-	0	1
BTD	-	-	-	49	1
BTG1	-	0	-	0	1
BTK	-	4224	-	-	0
BTRC	-	-	-	186	1
BUB1	-	-	-	0	1
BUB1B	5350	5350	5350	0	1
BUB3	1189	0	0	0	1
BZW2	-	-	1984	-	1
C10orf117	-	0	0	0	1
C10orf137	-	-	-	0	1
C10orf22	-	-	7609	-	1
C10orf26	-	-	274	-	1
C10orf3	-	-	818	0	0
C10orf48	483	-	-	-	0
C10orf6	-	-	-	0	0
C10orf7	0	-	0	-	1
C10orf70	-	4002	1981	-	1
C10orf78	0	-	-	0	0
C10orf84	-	37	-	-	0
C11orf1	-	-	0	-	1
C11orf10	-	-	-	0	1
C12orf14	-	0	-	0	1
C12orf2	882	882	882	-	1
C12orf8	-	-	-	30	1
C13orf11	-	-	-	19	1
C13orf17	-	-	-	0	1
C13orf3	-	-	-	168	1
C13orf7	185	0	0	0	1
C14orf10	-	0	0	0	1
C14orf105	-	0	0	-	0
C14orf106	-	-	-	0	1
C14orf108	-	0	-	0	1
C14orf11	-	6973	-	-	1
C14orf114	-	-	739	-	1
C14orf115	-	0	0	-	1
C14orf119	-	0	-	-	1
C14orf122	-	45	57	0	1
C14orf130	-	-	-	0	1
C14orf133	-	-	0	-	1
C14orf138	-	727	727	-	1
C14orf140	-	-	-	4842	0
C14orf142	-	-	-	0	0
C14orf151	6968	-	6968	6968	1
C14orf153	755	-	755	755	1
C14orf156	0	-	0	-	1
C14orf159	-	0	-	-	1
C14orf31	-	-	-	3717	0
C14orf80	-	-	-	111	1
C14orf87	-	-	-	79	1
C14orf9	-	12	12	231	1
C14orf94	-	-	-	0	1
C15orf20	-	0	-	-	1
C15orf24	-	-	34	-	1
C15orf25	-	-	-	0	1
C15orf29	3817	3817	3817	-	1
C16orf33	-	-	-	0	1
C16orf48	0	-	-	0	0
C16orf9	-	-	-	5106	1
C17orf39	-	-	-	0	1
C18orf19	-	-	-	0	1
C18orf23	-	-	1214	-	0
C18orf24	-	-	-	0	1
C18orf37	-	0	0	0	1
C18orf55	-	-	-	0	1
C19orf14	-	-	209	0	1
C19orf6	-	-	278	-	1
C1orf16	-	1768	-	-	1
C1orf21	-	2538	2538	-	1
C1orf41	-	-	-	75	1
C1orf8	-	-	0	0	1
C1QA	6596	6596	-	-	0
C1QTNF6	-	-	78	-	0
C1R	1262	-	-	-	0
C20orf12	-	-	-	0	0
C20orf172	-	-	-	0	1
C20orf175	-	4925	4925	-	0
C20orf23	-	1220	1476	-	0
C20orf30	-	-	-	5776	1
C20orf42	-	-	0	-	1
C20orf52	-	-	0	-	1
C20orf72	-	-	-	0	1
C20orf77	-	-	-	0	1
C20orf86	-	-	555	-	0
C20orf9	-	-	0	-	1
C20orf96	-	0	0	0	1
C21orf45	-	-	-	0	1
C21orf49	-	0	-	-	0
C21orf58	-	-	-	0	0
C21orf59	-	-	0	-	1
C21orf6	-	-	5132	-	0
C21orf66	-	0	-	-	1
C21orf88	-	-	931	-	0
C22orf13	-	0	-	-	1
C22orf18	-	-	-	75	1
C2orf11	76	-	-	-	0
C2orf13	-	-	-	0	0
C2orf29	-	-	-	0	1
C2orf7	-	-	294	-	0
C3F	-	-	-	213	0
C3orf10	-	-	0	0	1
C3orf19	-	-	0	-	1
C4BPA	-	2302	-	-	0
C5orf4	-	7357	7357	7429	1
C5R1	-	3582	-	-	0
C6orf111	890	0	0	-	1
C6orf117	-	-	201	-	1
C6orf128	665	-	-	-	0
C6orf130	-	179	-	0	1
C6orf141	-	234	497	-	0
C6orf152	-	7604	7328	-	0
C6orf166	-	360	116	-	1
C6orf167	-	-	-	0	1
C6orf204	-	0	0	-	0
C6orf21	-	3921	-	-	0
C6orf32	-	-	2160	-	0
C6orf47	-	-	-	4113	1
C6orf48	-	-	-	0	1
C6orf64	-	-	491	-	0
C6orf72	-	179	-	-	0
C6orf78	-	-	1194	-	0
C7orf16	1124	1124	1124	-	0
C7orf20	-	-	-	0	0
C7orf27	-	-	-	0	1
C7orf33	305	305	305	-	0
C7orf35	-	-	0	27	1
C9orf105	-	-	-	0	1
C9orf156	-	-	-	0	1
C9orf19	-	-	1118	-	1
C9orf39	-	-	-	0	1
C9orf40	-	-	-	0	1
C9orf43	-	62	-	0	0
C9orf5	-	0	0	0	1
C9orf74	6029	6029	6029	-	1
C9orf76	-	1555	-	-	1
C9orf79	-	-	3336	-	0
C9orf82	-	-	66	-	1
C9orf93	-	0	-	-	0
C9orf96	-	-	-	0	0
C9orf97	126	5	-	126	1
CA14	-	799	1058	-	0
CA2	1710	1710	1710	-	1
CA4	6876	6876	6876	-	1
CA8	-	258	478	-	0
CABLES1	1761	1761	1761	-	1
CACNA1A	-	412	412	-	1
CACNA1G	1780	-	-	1526	0
CACNA2D1	953	953	678	-	1
CACNG8	-	-	894	-	0
CACYBP	-	-	-	0	1
CALB1	-	-	3389	-	1
CALCA	-	-	1436	-	0
CALCRL	-	-	0	-	0
CALD1	-	-	0	-	1
CALM2	-	1754	1754	-	1
CALR	-	0	0	0	1
CAP1	-	-	-	95	1
CAPON	5812	-	-	-	0
CAPZA2	4834	4834	4834	-	1
CASP10	-	63	-	-	0
CASP8AP2	-	-	-	0	1
CASP9	-	1980	2213	0	1
CATSPER2	-	-	-	0	0
CAV1	-	-	901	-	1
CBLN1	-	-	-	0	0
CBWD1	-	-	0	-	0
CBWD2	-	-	0	-	0
CBX1	-	-	-	0	1
CBX2	-	1145	-	-	0
CBX3	-	336	260	336	1
CBX5	-	0	0	0	1
CBX8	7298	7298	-	-	0
CCDC12	-	-	0	-	1
CCDC6	1909	-	590	-	0
CCHCR1	-	-	-	0	1
CCL2	72	72	0	-	0
CCND1	-	0	-	-	1
CCNE2	-	-	815	-	0
CCT5	-	-	-	13	1
CCT6B	-	-	0	-	1
CCT7	-	-	526	-	1
CD82	5611	5611	5830	-	0
CD99L2	3550	3550	3550	-	0
CDADC1	-	-	-	0	1
CDC14A	-	-	-	375	0
CDC14B	676	676	412	0	1
CDC16	-	-	3742	-	1
CDC2	-	0	0	0	1
CDC20	-	-	-	0	1
CDC23	-	-	-	0	1
CDC25A	-	-	-	0	1
CDC25C	-	-	-	0	1
CDC2L5	-	-	-	434	1
CDC37	-	-	-	0	1
CDC42BPA	-	989	-	-	1
CDC42EP4	-	-	730	-	1
CDC45L	-	0	0	0	1
CDC7	379	118	118	0	1
CDCA1	-	-	-	0	1
CDCA2	-	-	-	0	1
CDCA3	-	-	-	0	1
CDCA5	-	-	-	0	1
CDCA7	-	-	-	0	1
CDCA8	-	-	-	0	1
CDH1	3491	-	3491	-	1
CDH2	-	744	1036	-	1
CDH3	-	0	-	-	1
CDH6	-	0	-	-	0
CDH9	-	0	0	-	0
CDK6	-	1491	1212	-	1
CDK8	-	-	-	0	1
CDKAL1	-	3884	-	-	0
CDS2	-	-	422	0	1
CDW92	1986	1986	1986	4421	1
CDX1	23	-	23	-	0
CDX2	1917	-	0	-	0
CDX4	-	0	0	-	0
CDYL	1762	922	922	-	1
CEBPZ	-	-	0	-	1
CEI	801	1504	1504	-	0
CENPA	-	-	-	0	1
CENTG2	-	-	-	0	1
CEPT1	-	-	780	-	1
CER1	-	0	0	-	1
CERKL	262	-	262	269	0
CETN3	-	427	701	-	1
CFC1	-	-	628	-	0
CFDP1	-	-	-	0	1
CFL1	-	0	23	0	1
CGI-143	-	-	-	0	1
CGI-37	-	0	0	-	1
CGI-62	-	-	19	-	1
CGI-94	-	-	-	0	1
CHCHD3	-	-	-	0	1
CHCHD5	-	-	0	-	1
CHD2	-	-	0	-	1
CHEK1	-	-	-	0	1
CHEK2	-	-	-	515	1
CHERP	-	-	-	0	1
CHES1	-	7046	1451	-	1
CHKB	-	-	-	0	1
CHM	-	-	0	0	0
CHN2	-	4414	3229	-	0
CHRAC1	-	-	-	409	0
CHRFAM7A	-	-	-	113	0
CHRM5	-	6929	-	-	0
CHRNA1	7216	7216	7216	-	0
CHRNB3	-	1416	-	-	0
CHRNE	-	6037	5573	-	0
CHST4	-	-	0	-	1
CHST5	577	-	-	4205	1
CIT	-	-	-	0	1
CITED2	-	-	815	-	1
CKAP1	-	-	-	0	1
CKS2	-	-	0	0	1
CLDN1	-	-	3010	-	0
CLDN6	-	-	3225	5849	1
CLEC1B	-	3626	3626	-	0
CLEC3A	521	-	-	-	0
CLEC7A	1067	-	1067	-	0
CLIC1	-	-	2168	2168	1
CLIC4	-	1042	593	-	1
CLN3	-	0	0	-	1
CLSPN	-	-	-	0	0
CLTA	-	-	-	0	1
CNAP1	-	-	0	-	1
CNN2	-	-	4444	-	1
CNN3	-	-	1388	-	1
CNOT10	-	-	-	0	1
CNOT6	-	-	-	333	1
CNOT8	-	189	262	189	1
CNTNAP3	1321	-	1041	-	1
COG4	-	-	-	34	1
COG7	-	-	0	-	1
COL11A2	-	-	-	7758	1
COL12A1	7204	6964	6964	-	1
COL16A1	-	-	-	989	0
COL21A1	-	978	497	-	0
COL4A5	-	-	144	-	1
COL4A6	-	-	570	-	1
COL7A1	-	-	0	-	1
COL8A1	-	-	4268	-	0
COMMD3	1289	1289	980	-	1
COMMD7	5773	5545	5545	-	1
COPB	-	0	-	-	1
COPB2	-	-	-	1811	1
COPE	-	-	0	-	1
COPS7A	-	0	-	-	1
COPS7B	-	-	-	14	1
CORO6	-	-	-	0	0
COTL1	-	-	165	-	1
COX6A1	-	-	0	-	1
CP110	-	-	0	0	0
CPA5	-	-	333	-	0
CPB1	3251	-	-	-	0
CPOX	-	-	-	0	1
CPS1	901	901	901	-	0
CPT1A	1261	1261	1261	-	1
CPT2	-	-	-	0	1
CREB3L4	-	0	-	3542	1
CREG2	-	1645	-	-	0
CRIM1	-	3444	-	-	1
CRK7	-	564	-	-	1
CRLF3	-	-	-	6935	1
CRSP3	-	-	367	-	1
CRSP6	-	0	-	-	1
CRSP8	-	-	-	0	1
CRYBA2	-	-	270	-	0
CRYBA4	-	-	4419	-	0
CRYBB1	-	-	483	-	0
CRYZ	-	-	475	-	1
CS	-	-	0	-	1
CSAD	1353	1073	1073	-	0
CSGlcA-T	-	4484	4959	4959	0
CSMD3	64	344	64	-	0
CSNK1E	-	590	1544	-	1
CSNK2B	-	-	-	465	1
CSPG2	-	321	34	-	1
CSPG6	-	-	-	0	1
CSTF1	-	-	0	0	1
CSTF2T	-	-	-	0	1
CSTF3	-	-	12	12	1
CTGF	1520	1013	0	-	1
CTH	-	0	-	-	1
CTMP	-	283	-	-	0
CTSL2	-	-	6151	-	1
CTTNBP2	-	-	1688	-	0
CTXN1	-	-	-	151	0
CUGBP2	-	-	216	-	1
CUL4B	-	-	-	57	1
CUZD1	0	-	-	-	0
CXADR	-	-	879	-	1
CXCL5	-	0	-	-	1
CXorf26	0	-	0	-	1
CXorf41	-	-	-	0	0
CYB5-M	-	-	0	0	1
CYB5R2	-	608	-	328	1
CYBASC3	-	-	-	0	1
CYLD	-	-	0	-	1
CYP1A1	-	923	-	-	0
CYP1B1	-	-	130	-	1
CYP24A1	-	-	557	-	0
CYP26B1	692	-	-	-	0
CYP2R1	-	-	0	-	1
CYP2S1	-	-	2494	-	1
CYR61	-	76	76	0	1
CYYR1	988	-	-	-	0
DACH1	2676	2676	2676	-	0
DAND5	-	-	-	4624	0
DARS	-	-	-	0	1
DATF1	-	310	4268	-	1
DAZL	-	5494	-	-	0
DBCCR1L	446	722	177	-	0
DBR1	0	-	-	0	1
DC13	-	-	-	50	1
DCC1	-	601	601	-	1
DCLRE1A	-	-	-	0	0
DCLRE1C	-	-	397	-	1
DCPS	-	-	-	0	1
DCX	-	-	573	-	1
DDX11	-	-	-	0	1
DDX17	-	0	6440	-	1
DDX18	-	-	1908	-	1
DDX20	-	-	5668	-	1
DDX21	-	0	-	-	1
DDX23	-	-	0	0	1
DDX31	612	-	-	-	1
DDX39	-	0	0	0	1
DDX41	-	-	0	0	1
DDX49	-	-	49	-	1
DDX5	-	31	31	-	1
DDX50	-	-	-	312	1
DEK	-	-	-	30	1
DEPDC1	-	-	-	0	1
DEPDC2	0	127	127	-	0
DERL2	-	-	-	105	1
DFFA	-	-	-	0	1
DFNB31	-	33	-	-	0
DGAT2L6	-	5186	5186	-	0
DGKB	-	-	4844	-	0
DHCR7	-	-	1541	-	1
DHDDS	2337	2337	2337	-	1
DHFRL1	-	0	0	0	0
DHRS3	1109	1109	1109	-	1
DHRS6	-	0	-	-	1
DHX35	-	-	-	141	1
DHX38	-	0	0	-	1
DHX40	-	-	-	0	1
DIAPH3	-	103	-	0	1
DIRC2	-	-	244	-	1
DKFZP434B168	-	-	-	0	1
DKFZp434I1020	-	-	-	0	0
DKFZp547D2210	-	6899	-	-	0
DKFZp547G0215	-	103	103	-	0
DKFZP564F0522	-	3778	-	-	1
DKFZP564G2022	-	-	0	-	1
DKFZP564K0822	-	-	946	-	1
DKFZP564O0523	-	-	0	-	0
DKFZP566D1346	0	-	-	0	0
DKFZP586A0522	-	-	0	-	1
DKFZp667B0210	1364	6447	5966	-	0
DKFZp686I15217	3301	-	-	-	0
DKFZp761A078	-	-	-	0	1
DKK1	165	0	0	-	1
DKKL1	-	0	-	-	0
DLEU1	-	-	-	0	1
DLEU2	-	-	-	0	0
DLG7	-	-	0	0	1
DLGAP1	-	-	-	7724	0
DLL1	5366	7225	-	-	0
DLX1	1203	1203	1203	-	0
DLX2	2944	-	-	-	0
DLX4	3011	5332	665	-	0
DLX5	62	62	0	-	0
DMD	-	-	-	676	1
DMRT1	995	715	715	-	0
DMRT3	-	-	2390	-	0
DMTF1	-	-	-	0	1
DMXL1	-	-	439	-	1
DNAJC8	-	-	2968	-	1
DNAJC9	3494	-	3494	3494	1
DNASE2	-	-	-	3404	0
DNM2	-	77	77	-	1
DOCK5	-	-	4470	-	0
DOK3	-	-	6388	6388	0
DPAGT1	-	0	0	-	1
DPM1	-	-	0	-	1
DPP3	-	0	-	-	1
DPP9	-	168	-	-	0
DPPA2	-	0	0	-	0
DPPA4	0	0	0	-	1
DPYSL2	383	137	383	-	1
DPYSL3	1079	1079	1079	-	1
DQX1	-	-	-	3074	0
DRF1	-	-	-	0	0
DSC3	0	-	-	-	0
DSG2	-	-	-	253	1
DTNA	2067	2067	2067	-	1
DTX2	-	-	3098	-	1
DUSP12	483	235	483	-	1
DUSP6	1365	83	0	-	1
DVL2	-	5058	5058	5058	1
DXS9879E	-	-	-	0	1
DYM	-	-	4347	-	1
E2F3	-	114	442	0	1
EAF2	-	-	-	0	0
EDA2R	-	-	182	-	0
EDD	817	373	354	373	1
EEF1B2	-	-	-	0	1
EEF1E1	-	-	0	0	1
EEF2	-	14	289	-	1
EFTUD1	4271	-	-	-	1
EGLN3	-	132	132	-	1
EGR1	-	-	-	0	1
EGR3	-	0	-	-	1
EHBP1	-	-	247	-	1
EHD4	-	-	0	-	1
EIF1AY	5364	-	-	5626	0
eIF2A	-	-	0	-	1
EIF2AK3	-	-	0	-	1
EIF2C2	-	452	-	-	1
EIF2S1	0	-	-	0	1
EIF3S12	-	-	-	0	1
EIF3S5	-	0	0	0	1
EIF3S7	-	-	0	-	1
EIF3S8	-	-	-	0	1
EIF3S9	-	-	-	374	1
EIF4B	-	-	383	-	1
EIF4ENIF1	-	-	912	-	1
EIF4G2	-	452	452	-	1
ELAVL2	1270	1270	-	-	1
ELL2	-	-	0	-	1
ELMOD1	-	764	-	-	0
EME1	-	-	0	-	0
EMP2	-	-	-	0	1
EMX2	-	-	360	-	0
EN1	32	32	6863	-	0
EN2	4817	-	-	-	0
ENAH	-	-	-	0	1
ENC2	-	-	-	0	0
ENDOGL1	-	-	-	0	0
ENPEP	-	-	2634	-	0
ENPP2	0	0	0	-	1
ENPP3	-	-	7867	-	0
ENPP4	-	-	-	0	0
ENSA	-	0	0	-	1
ENST00000215770	-	-	4483	-	0
ENST00000217260	-	-	3184	-	0
ENST00000217537	-	1048	1048	-	1
ENST00000218188	5556	-	-	-	0
ENST00000218328	-	1200	-	-	1
ENST00000238256	-	-	-	0	1
ENST00000244321	-	-	-	4746	1
ENST00000246013	-	1465	-	-	0
ENST00000246083	5210	4948	4948	-	0
ENST00000250479	-	-	6733	-	0
ENST00000252032	-	841	841	-	1
ENST00000255500	-	-	-	343	1
ENST00000258728	-	-	6576	-	0
ENST00000259327	-	870	-	-	0
ENST00000260257	-	-	0	-	0
ENST00000263256	-	-	-	567	1
ENST00000265140	-	-	-	0	0
ENST00000268043	-	3926	-	-	0
ENST00000269142	-	-	481	-	1
ENST00000279028	-	-	4680	-	0
ENST00000279873	-	0	0	-	1
ENST00000285199	-	-	-	0	0
ENST00000289348	945	-	-	781	0
ENST00000290943	-	-	897	-	0
ENST00000291011	110	-	-	3	0
ENST00000291982	2790	2790	2790	-	0
ENST00000293218	-	4573	-	-	0
ENST00000296508	989	6693	6467	-	0
ENST00000298125	-	317	-	-	0
ENST00000298406	6875	6941	6628	-	1
ENST00000298439	-	-	-	3215	0
ENST00000300358	-	-	-	251	0
ENST00000302155	-	4002	4002	-	1
ENST00000303758	-	-	7347	-	0
ENST00000304181	256	-	256	-	0
ENST00000304908	-	-	-	583	0
ENST00000304952	5191	-	-	-	0
ENST00000305188	-	-	-	0	0
ENST00000305321	-	-	0	0	0
ENST00000305339	-	-	-	0	0
ENST00000308142	4272	3993	4272	-	0
ENST00000308618	-	4605	4605	-	0
ENST00000309024	-	1507	1507	-	1
ENST00000309467	1187	1187	1187	-	0
ENST00000310496	701	-	-	-	1
ENST00000313737	-	1396	-	1396	0
ENST00000314890	-	-	127	-	0
ENST00000316011	-	2792	2207	-	0
ENST00000316333	4617	-	1908	-	0
ENST00000317976	-	-	-	715	1
ENST00000319884	1568	1568	1568	-	0
ENST00000321662	-	-	-	157	0
ENST00000321905	-	-	283	670	0
ENST00000321991	-	7021	-	7298	0
ENST00000322309	-	-	3612	-	0
ENST00000322358	-	6736	-	-	0
ENST00000322567	-	-	28	-	0
ENST00000323051	-	1540	-	-	0
ENST00000323426	-	-	6960	0	0
ENST00000324434	-	-	-	0	0
ENST00000325371	-	-	-	2574	0
ENST00000326237	-	-	-	0	0
ENST00000327804	-	-	2083	-	0
ENST00000327898	-	-	-	0	0
